	BIDS check	fmriprep check	Anat	RUN 1		RUN 2		RUN 3		RUN 4		From TSV Files	Run 1				Run 2				Run 3				Run 4				FSL Level 1	Run 1	Run 2	Run 3	Run 4	FINAL CHECK	
Subject 	y/n		T1 to MNI registration	EPI to standard registration	SDC	EPI to standard registration	SDC	EPI to standard registration	SDC	EPI to standard registration	SDC		FD Check (timepoints >0.9)	Min	Max	MCFLIRT (Any spike > 3mm)	FD Check (timepoints >0.9)	Min	Max	MCFLIRT (Any spike > 3mm)	FD Check (timepoints >0.9)	Min	Max	MCFLIRT (Any spike > 3mm)	FD Check (timepoints >0.9)	Min	Max	MCFLIRT (Any spike > 3mm)		check activation	check activation	check activation	check activation	Include in higher level? 	Decision (MM/DD/YY INITALS)
Possible Entries	Y/N/CHECK		GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	--				PASS/FAIL				PASS/FAIL				PASS/FAIL				PASS/FAIL		GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	GOOD/POOR/CHECK	YES/NO	01/01/20 JRS
sub-001	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-002	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-003		--										--																	--						
sub-004	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-005	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-006	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-007	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-008		--										--																	--						
sub-009	y	--	good	good	good	good	good	good	good	good	good	--																	--						
sub-010		--										--																	--						
sub-011		--										--																	--						
sub-012		--										--																	--						
sub-013		--										--																	--						
sub-014		--										--																	--						
sub-015		--										--																	--						
sub-016		--										--																	--						
sub-017		--										--																	--						
sub-018		--										--																	--						
sub-019		--										--																	--						
sub-020		--										--																	--						
sub-021		--										--																	--						
sub-022		--										--																	--						
sub-023		--										--																	--						
sub-024		--										--																	--						
sub-025		--										--																	--						
sub-026		--										--																	--						
sub-027		--										--																	--						
sub-028		--										--																	--						
sub-029		--										--																	--						
sub-030		--										--																	--						
sub-031		--										--																	--						
sub-032		--										--																	--						
sub-033		--										--																	--						
sub-034		--										--																	--						
sub-035		--										--																	--						
sub-036		--										--																	--						
sub-037		--										--																	--						
sub-038		--										--																	--						
sub-039		--										--																	--						
sub-040		--										--																	--						
sub-041		--										--																	--						
sub-042		--										--																	--						
sub-043		--										--																	--						
sub-044		--										--																	--						
sub-045		--										--																	--						
sub-046		--										--																	--						
sub-047		--										--																	--						
sub-048		--										--																	--						
sub-049		--										--																	--						
sub-050		--										--																	--						
sub-051		--										--																	--						
sub-052		--										--																	--						
sub-053		--										--																	--						
sub-054		--										--																	--						
sub-055		--										--																	--						
sub-056		--										--																	--						
sub-057		--										--																	--						
sub-058		--										--																	--						
sub-059		--										--																	--						
sub-060		--										--																	--						
sub-061		--										--																	--						
sub-062		--										--																	--						
sub-063		--										--																	--						
sub-064		--										--																	--						
sub-065		--										--																	--						
sub-066		--										--																	--						
sub-067		--										--																	--						
sub-068		--										--																	--						
sub-069		--										--																	--						
sub-070		--										--																	--						
sub-071		--										--																	--						
sub-072		--										--																	--						
sub-073		--										--																	--						
sub-074		--										--																	--						
sub-075		--										--																	--						
sub-076		--										--																	--						
sub-077		--										--																	--						
sub-078		--										--																	--						
sub-079		--										--																	--						
sub-080		--										--																	--						
sub-081		--										--																	--						
sub-082		--										--																	--						
sub-083		--										--																	--						
sub-084		--										--																	--						
sub-085		--										--																	--						
sub-086		--										--																	--						
sub-087		--										--																	--						
sub-088		--										--																	--						
sub-089		--										--																	--						
sub-090		--										--																	--						
sub-091		--										--																	--						
sub-092		--										--																	--						
sub-093		--										--																	--						
sub-094		--										--																	--						
sub-095		--										--																	--						
sub-096		--										--																	--						
sub-097		--										--																	--						
sub-098		--										--																	--						
sub-099		--										--																	--						
sub-100		--										--																	--						
sub-101		--										--																	--						
sub-102		--										--																	--						
sub-103		--										--																	--						
sub-104		--										--																	--						
sub-105		--										--																	--						
sub-106		--										--																	--						
sub-107		--										--																	--						
sub-108		--										--																	--						
sub-109		--										--																	--						
