	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-001	17	-0.023098	0.471581	-0.122578	0.557663	-0.041372	0.500646	0.035741	0.474491	0.132524	0.570208	0.112503	0.533395	0.052133	0.443057	0.091907	0.496068	-0.108366	0.529058	-0.048484	0.440671	-0.087906	0.493359	0.137712	0.575743	0.068247	0.463283	-0.068247	0.463283	-0.067326	0.457587	0.067326	0.457587	0.055942	0.512773
sub-002	0.0																																		
sub-003	17	-0.030936	0.503537	-0.034883	0.515867	0.039986	0.534952	0.025707	0.502806	0.040990	0.520795	-0.017946	0.476840	-0.004576	0.431758	-0.011351	0.445936	0.004463	0.468817	-0.003459	0.427633	-0.000610	0.440162	0.042297	0.526928	-0.008942	0.492705	0.008942	0.492705	0.003149	0.484408	-0.003149	0.484408	-0.051427	0.545075
sub-004	0.0																																		
sub-005	17	0.053010	0.492966	-0.083475	0.535302	0.068737	0.579766	-0.035809	0.482697	0.097138	0.545766	0.012457	0.484251	0.098915	0.509029	0.064914	0.498402	-0.004968	0.484653	-0.094470	0.501792	-0.058505	0.492129	0.084813	0.535665	-0.101850	0.499869	0.101850	0.499869	0.104014	0.505870	-0.104014	0.505870	-0.048670	0.557734
sub-006	17	-0.030752	0.472232	-0.083487	0.555963	-0.027135	0.449587	0.040803	0.470435	0.106398	0.573257	0.078966	0.463435	0.031168	0.478186	0.059928	0.476226	-0.084103	0.464282	-0.036295	0.475299	-0.066021	0.475879	0.105214	0.573127	0.053909	0.455850	-0.053909	0.455850	-0.053267	0.452489	0.053267	0.452489	0.037754	0.457484
sub-007	17	0.110309	0.514698	-0.048182	0.556039	0.013853	0.436912	-0.103800	0.506510	0.051386	0.566548	0.023003	0.531704	0.105573	0.526018	0.070161	0.536939	-0.023958	0.527797	-0.103419	0.521701	-0.069800	0.533708	0.046658	0.565913	-0.090550	0.485043	0.090550	0.485043	0.086567	0.480185	-0.086567	0.480185	-0.010780	0.452927
sub-008	17	-0.188389	1.026583	-0.094202	0.527978	0.073654	0.692921	0.188286	0.988711	0.083716	0.494688	0.013717	0.598318	-0.074882	0.730432	-0.036079	0.671769	-0.007297	0.579560	0.079706	0.712057	0.042720	0.649547	0.072782	0.516846	0.075114	0.615241	-0.075114	0.615241	-0.073859	0.616602	0.073859	0.616602	-0.072625	0.730809
sub-009	17	0.025438	0.419634	0.000203	0.398868	0.019337	0.453731	-0.030084	0.414679	-0.002495	0.397475	-0.011349	0.466800	0.018787	0.412686	0.004634	0.436964	0.013572	0.463909	-0.021525	0.412939	-0.005107	0.434760	0.001782	0.400455	-0.026616	0.448667	0.026616	0.448667	0.032675	0.450121	-0.032675	0.450121	-0.016946	0.459166
sub-010	17	-0.099280	0.499925	-0.035161	0.529001	-0.053267	0.445021	0.113289	0.501526	0.045663	0.526442	0.078899	0.451588	-0.064790	0.491345	0.007339	0.441952	-0.079558	0.453279	0.069091	0.489731	-0.005033	0.440075	0.036274	0.529237	0.168647	0.590369	-0.168647	0.590369	-0.172558	0.592214	0.172558	0.592214	0.061941	0.450311
