	img_vol_task-training_run-1	anat_task-training_run-1	epi_task-training_run-1	sdc_task-training_run-1	fd_spikes_9mm_task-training_run-1	fd_spikes_9mm_ct_task-training_run-1	fd_max_task-training_run-1	fd_min_task-training_run-1	fd_3mm_check_task-training_run-1	fd_3mm_frame_ct_task-training_run-1	img_vol_task-training_run-2	anat_task-training_run-2	epi_task-training_run-2	sdc_task-training_run-2	fd_spikes_9mm_task-training_run-2	fd_spikes_9mm_ct_task-training_run-2	fd_max_task-training_run-2	fd_min_task-training_run-2	fd_3mm_check_task-training_run-2	fd_3mm_frame_ct_task-training_run-2	img_vol_task-training_run-3	anat_task-training_run-3	epi_task-training_run-3	sdc_task-training_run-3	fd_spikes_9mm_task-training_run-3	fd_spikes_9mm_ct_task-training_run-3	fd_max_task-training_run-3	fd_min_task-training_run-3	fd_3mm_check_task-training_run-3	fd_3mm_frame_ct_task-training_run-3	img_vol_task-training_run-4	anat_task-training_run-4	epi_task-training_run-4	sdc_task-training_run-4	fd_spikes_9mm_task-training_run-4	fd_spikes_9mm_ct_task-training_run-4	fd_max_task-training_run-4	fd_min_task-training_run-4	fd_3mm_check_task-training_run-4	fd_3mm_frame_ct_task-training_run-4
sub-001	233				pass	1	0.9372651	0.0389432	fail	154	233				pass	10	1.49291285	0.03128807000000002	fail	122	233				pass	0	0.8649215249999999	0.0214862	pass	205	233				pass	1	1.3151153	0.03668640519999994	pass	194
sub-002	233				pass	0	0.5827349650000001	0.029951600000000005	pass	222	233				pass	0	0.34975680000000003	0.03363856999999998	pass	226	233				pass	0	0.49171099999999995	0.015229422999999997	pass	226	233				pass	0	0.7018575100000001	0.0419083	pass	211
sub-003	233				pass	0	0.56679505	0.028813149999999992	pass	221	233				pass	0	0.44072429999999996	0.009841725000000008	pass	226	233				pass	0	0.64238855	0.029835299999999995	pass	210	233				pass	0	0.4705076	0.035671490000000014	pass	228
sub-004	233				pass	4	1.7663942500000005	0.021921300000000005	pass	182	233				pass	1	1.0204890394	0.028897504999999993	pass	178	233				pass	3	1.3886619999999998	0.02612310000000001	pass	182	233				pass	0	0.88134345	0.02413449999999999	fail	168
sub-005	233				pass	0	0.590167	0.008252799999999998	pass	210	233				pass	1	0.9277345350000002	0.011320350000000009	pass	210	233				pass	0	0.6005725900000001	0.0055874999999999606	pass	211	233				pass	0	0.6759881999999999	0.021200700000000017	pass	207
sub-006	233				pass	6	1.335473	0.0704487	fail	135	233				pass	1	1.9039556	0.029587999999999975	pass	203	233				pass	24	7.621521199999997	0.032128099999999944	fail	128	233				pass	6	2.80010565	0.029703109999999994	fail	164
sub-007	233				pass	0	0.7628216999999999	0.04901875000000002	pass	199	233				pass	0	0.5593315	0.033552599999999995	pass	182	233				pass	0	0.6948820000000001	0.042508150000000015	pass	208	233				pass	0	0.79849265	0.036949595	fail	168
sub-008	233				pass	7	1.0490341	0.028243720999999968	fail	170	233				pass	0	0.6640890899999999	0.01455504	pass	187	233				pass	4	1.90630125	0.014609770000000022	fail	159	233				pass	2	1.6027597999999998	0.016623299999999987	pass	177
sub-009	233				pass	0	0.4493356	0.02356890000000001	pass	224	233				pass	0	0.5241034999999999	0.036104699999999997	pass	221	233				pass	0	0.4909508500000001	0.01627381	pass	227	233				pass	0	0.40075375	0.032103062	pass	226
sub-010	233				pass	1	0.9139508499999998	0.035154099999999994	pass	200	233				pass	0	0.4829866	0.015085700000000004	pass	190	233				pass	0	0.5860455	0.03281949999999998	pass	198	233				pass	0	0.59567318	0.038842699999999994	pass	210
sub-011	233				pass	0	0.5003655	0.03376165000000012	pass	218	233				pass	0	0.51760756	0.02478820000000001	pass	220	233				pass	0	0.42362690000000003	0.003769199999999999	pass	223	233				pass	1	1.7413179000000003	0.040098650000000007	pass	212
sub-012	233				pass	0	0.60630303	0.040266199999999995	pass	212	233				pass	0	0.4890462900000001	0.03972109	pass	218	233				pass	0	0.33826657599999993	0.01640699999999997	pass	228	233				pass	0	0.6583872	0.029299449999999987	pass	221
sub-013	233				pass	0	0.358003	0.016520999999999987	pass	230	233				pass	0	0.23974431	0.01848055	pass	232	233				pass	0	0.5638905999999999	0.02734805	pass	230	233				pass	0	0.275122324	0.02776967000000001	pass	232
sub-014	233				pass	0	0.66034595	0.03235257999999998	pass	230	233				pass	0	0.3941805350000001	0.031334899999999964	pass	225	233				pass	0	0.5758052	0.004421155	pass	212	233				pass	0	0.3698639	0.024184250000000008	pass	228
sub-015	233				pass	0	0.8561834	0.029126509999999987	pass	187	233				pass	1	0.92115193	0.036769	fail	159	233				pass	0	0.8600825000000001	0.03649119000000002	fail	138	233				pass	1	1.2160741000000002	0.04604480000000016	fail	144
sub-016	233				pass	0	0.7449449999999999	0.021526300000000026	fail	152	233				pass	0	0.5539105499999999	0.0310046	pass	203	233				pass	0	0.572795835	0.01719697500000001	pass	215	233				pass	0	0.6613686700000001	0.0196140395	pass	212
sub-017	233				pass	0	0.33159099999999997	0.014822459999999978	pass	228	233				pass	0	0.37978809999999996	0.02475596	pass	226	233				pass	0	0.44530885	0.027631609799999998	pass	219	233				pass	0	0.42749598	0.01845762	pass	226
sub-018	233				pass	1	0.9206359000000001	0.020042700000000028	pass	188	233				pass	1	0.9015715	0.013081500000000029	pass	194	233				pass	0	0.68523162	0.012682130000000008	pass	224	233				pass	2	1.0810108500000002	0.016926190000000032	pass	206
sub-019	233				pass	0	0.83441945	0.019284800000000008	pass	206	233				pass	1	1.171135355	0.03790324999999997	pass	190	233				pass	1	0.91260815	0.01970175	fail	169	233				pass	0	0.747664	0.02598245	pass	183
sub-020	233				pass	0	0.7884068999999999	0.020360049999999984	pass	216	233				pass	1	0.9047063500000002	0.0190172	pass	221	233				pass	2	1.7242459999999995	0.02017297	pass	211	233				pass	0	0.28620144	0.01283857	pass	232
sub-021	233				pass	1	1.0428238500000002	0.030465217999999995	pass	190	233				pass	0	0.39846603	0.02939945000000001	pass	226	233				pass	0	0.48562725	0.016169515000000002	pass	228	233				pass	0	0.8961079899999999	0.015426199999999987	pass	201
sub-022	233				pass	0	0.4488087000000001	0.021309369999999987	pass	207	233				pass	0	0.55689731	0.03759276	pass	218	233				pass	0	0.540567	0.029590049999999982	pass	227	233				pass	0	0.34118746	0.026789499999999997	pass	229
sub-023	233				pass	0	0.40604588	0.007537700000000052	pass	229	233				pass	0	0.56463916	0.017711099999999997	pass	227	233				pass	0	0.40403675	0.013870029999999985	pass	229	233				pass	0	0.5935101500000001	0.02561956499999997	pass	227
sub-024	233				pass	0	0.31328825000000005	0.013828880000000005	pass	231	233				pass	0	0.23522413	0.019388900000000004	pass	232	233				pass	0	0.24012458	0.028599599437705008	pass	232	233				pass	0	0.205198995	0.01875401500000001	pass	232
sub-025	233				pass	2	1.1723415000000001	0.033444500000000064	fail	168	233				pass	3	1.3037082000000002	0.028636899999999983	pass	182	233				pass	3	1.35565146	0.0143864	fail	174	233				pass	11	1.3119687	0.007594670000000011	fail	161
sub-026	233				pass	2	0.907611305	0.01289069999999994	pass	177	233				pass	1	1.0379554	0.028952849999999964	pass	182	233				pass	0	0.7259514	0.010964050000000005	pass	203	233				pass	1	0.9112092100000002	0.0443096	pass	194
sub-027	233				pass	0	0.344827165	0.011771068999999992	pass	231	233				pass	0	0.39808234	0.022651499999999998	pass	227	233				pass	0	0.54599618	0.020201999999999973	pass	219	233				pass	0	0.27365907	0.018273169	pass	232
sub-028	233				pass	0	0.43421329999999997	0.01892199000000001	pass	216	233				pass	0	0.7048094500000001	0.03724664	pass	207	233				pass	0	0.4621593000000001	0.00983153	pass	219	233				pass	0	0.5946573685000001	0.028727550999999955	pass	220
sub-030	233				pass	1	0.9149888	0.03399724999999997	pass	195	233				pass	0	0.5760586099999999	0.03775739999999997	pass	212	233				pass	0	0.6550149000000001	0.030880999999999995	pass	222	233				pass	0	0.5092287000000001	0.030309399999999955	pass	205
sub-031	233				pass	29	1.8108090000000001	0.0425765	fail	66	233				pass	6	1.56955376	0.026787500000000082	fail	108	233				pass	8	1.46699875	0.025929949999999983	fail	134	233				pass	0	0.8492153299999999	0.03140182000000001	pass	197
sub-032	233				pass	0	0.5581567000000001	0.028304414000000007	pass	208	233				pass	0	0.43087267	0.010035099999999988	pass	220	233				pass	0	0.40641900000000003	0.00740055	pass	222	233				pass	0	0.5164982450000001	0.01352058	pass	216
