	img_vol_task-training_run-1	anat_task-training_run-1	epi_task-training_run-1	sdc_task-training_run-1	fd_spikes_9mm_task-training_run-1	fd_spikes_9mm_ct_task-training_run-1	fd_max_task-training_run-1	fd_min_task-training_run-1	fd_3mm_check_task-training_run-1	fd_3mm_frame_ct_task-training_run-1	img_vol_task-training_run-2	anat_task-training_run-2	epi_task-training_run-2	sdc_task-training_run-2	fd_spikes_9mm_task-training_run-2	fd_spikes_9mm_ct_task-training_run-2	fd_max_task-training_run-2	fd_min_task-training_run-2	fd_3mm_check_task-training_run-2	fd_3mm_frame_ct_task-training_run-2	img_vol_task-training_run-3	anat_task-training_run-3	epi_task-training_run-3	sdc_task-training_run-3	fd_spikes_9mm_task-training_run-3	fd_spikes_9mm_ct_task-training_run-3	fd_max_task-training_run-3	fd_min_task-training_run-3	fd_3mm_check_task-training_run-3	fd_3mm_frame_ct_task-training_run-3	img_vol_task-training_run-4	anat_task-training_run-4	epi_task-training_run-4	sdc_task-training_run-4	fd_spikes_9mm_task-training_run-4	fd_spikes_9mm_ct_task-training_run-4	fd_max_task-training_run-4	fd_min_task-training_run-4	fd_3mm_check_task-training_run-4	fd_3mm_frame_ct_task-training_run-4
sub-001	233				pass	0	0.6356909999999999	0.008330300000000032	pass	217	233				pass	0	0.79437735	0.038356250000000015	pass	198	233				pass	0	0.5666991699999999	0.02840420000000002	pass	218	233				pass	0	0.441713705	0.027609300000000003	pass	224
sub-002	233				pass	0	0.26898	0.02219229929852	pass	232	233				pass	0	0.3250159	0.02445147	pass	231	233				pass	0	0.24552815	0.014399439999999987	pass	232	233				pass	0	0.24892379999999997	0.02698922	pass	232
sub-003																																								
sub-004	233				pass	3	1.076630925	0.03560350000000001	fail	166	233				pass	18	1.5348218	0.02449249999999996	fail	150	233				pass	14	1.6212131500000002	0.02378165	fail	174	233				pass	6	1.2129765	0.015114980000000012	fail	161
sub-005	233				pass	1	1.22063036	0.015326800000000073	pass	225	233				pass	0	0.52044579	0.014594280000000006	pass	222	233				pass	0	0.593985195	0.0051181	pass	222	233				pass	0	0.49438095	0.021164539999999968	pass	219
sub-006	233				pass	1	2.0998170549999995	0.028932300000000005	pass	208	233				pass	0	0.51601085	0.02606755	pass	211	233				pass	1	1.4431708	0.021298035	pass	184	233				pass	0	0.61105033	0.030926510000000018	pass	207
sub-007	233				pass	0	0.8228234000000001	0.0158383	pass	201	233				pass	0	0.7299071999999996	0.033551897000000004	pass	210	233				pass	0	0.5948789955	0.03734361	pass	215	233				pass	2	1.1074445529999999	0.052608000000000016	pass	198
sub-008	0				pass	0	0.7227080999999999	0.010938899999999993	pass	208	0				pass	0	0.475787035	0.0057192999999999905	pass	221	0				pass	0	0.34604641	0.014203696000000003	pass	228	0				pass	0	0.48145312	0.01465119999999998	pass	214
sub-009	233				pass	1	1.42136945	0.017740275000000104	pass	211	233				pass	0	0.7543364899999999	0.015443399999999994	pass	221	233				pass	2	1.3471979500000002	0.01429565	pass	215	233				pass	5	2.48431745	0.016010499999999976	pass	200
sub-010	233				pass	0	0.34896605	0.02338813000000001	pass	228	233				pass	0	0.52779695	0.06301140000000001	pass	190	233				pass	0	0.8602271	0.05439268000000002	pass	177	233				pass	0	0.79229804	0.04802873999999999	fail	166
sub-011	233				pass	0	0.3746977	0.008072499999999995	pass	226	233				pass	0	0.33302015	0.01829425	pass	231	0				pass	0	0.4341229999999999	0.019254850000000004	pass	221	0				pass	0	0.30824454500000004	0.01207178	pass	231
sub-012																																								
sub-013	233				pass	0	0.28113975	0.018411	pass	232	233				pass	0	0.2575895850000001	0.017917924999999998	pass	232	0				pass	0	0.20073606	0.014904699999999972	pass	232	0				pass	0	0.26315279999999996	0.017684040000000022	pass	232
sub-014	233				pass	0	0.7018985500000001	0.0381926	pass	210	233				pass	1	0.9857565	0.01923895999999999	pass	208	233				pass	4	1.5868818186999998	0.049298499999999856	fail	154	233				pass	2	1.4257604	0.026497800000000002	pass	204
sub-015	233				pass	3	1.2585563999999998	0.031843300000000005	fail	154	233				pass	0	0.8572341999999998	0.01749645	pass	195	233				pass	0	0.5576561499999999	0.03216722899999995	pass	184	233				pass	0	0.7200568049999999	0.022251769999999983	fail	172
sub-016																																								
sub-017	233				pass	0	0.47531075	0.040486850000000005	pass	218	233				pass	0	0.454540334	0.024204712000000003	pass	219	233				pass	0	0.4993581	0.017553399999999997	pass	215	233				pass	0	0.472337379	0.02242860000000004	pass	197
sub-018																																								
sub-019	0				pass	1	1.2423221000000002	0.023695940000000026	pass	191	0				pass	0	0.5720286	0.03636110000000002	pass	206	0				pass	0	0.52305805	0.034339675000000014	pass	206	0				pass	0	0.5914189999999999	0.0211715	pass	206
sub-020	233				pass	0	0.35963155	0.009769850000000016	pass	230	233				pass	0	0.8057429999999999	0.015112949999999991	pass	226	233				pass	0	0.32841441	0.0056072500999999894	pass	229	233				pass	0	0.32965599999999995	0.01883585	pass	230
sub-021	0				pass	2	1.5929439930000002	0.05384709999999997	pass	191	0				pass	0	0.58167105	0.023918479999999968	pass	208	0				pass	1	1.1869758	0.017930350000000005	pass	223	0				pass	0	0.457496775	0.016714009999999994	pass	221
sub-022	233				pass	0	0.5538420000000001	0.033820759000000006	pass	213	233				pass	0	0.4342696850000001	0.0215516325	pass	228	233				pass	0	0.7151770500000001	0.014951032659999997	pass	225	233				pass	0	0.4868120999999999	0.024258903199999998	pass	221
sub-023	233				pass	0	0.40533125	0.015738249999999985	pass	228	233				pass	0	0.6349568100000001	0.020796450000000005	pass	220	233				pass	0	0.3540717	0.011760100000000008	pass	227	233				pass	0	0.8592670700000001	0.01923745	pass	228
sub-024																																								
sub-025	233				pass	2	1.58346165	0.01841896	fail	170	233				pass	6	1.74580685	0.024610600000000017	fail	135	233				pass	4	1.3970086000000002	0.03999359999999968	fail	150	233				pass	13	2.1685234	0.04381799999999993	fail	120
sub-026																																								
sub-027																																								
sub-028	233				pass	0	0.5545248	0.02226935000000001	pass	225	233				pass	0	0.61096579	0.02216045	pass	229	233				pass	0	0.5568936	0.026278700000000002	pass	225	233				pass	0	0.3972334300000001	0.02261575	pass	227
sub-030	233				pass	0	0.47575055	0.03311869999999999	pass	216	233				pass	0	0.4896674	0.014153129999999996	pass	226	233				pass	0	0.6661706999999999	0.039100299999999935	pass	227	233				pass	0	0.4486746500000001	0.0299051	pass	221
sub-031	233				pass	0	0.7787934700000001	0.010168999999999996	pass	223	233				pass	2	1.56800514	0.004530490000000008	pass	226	233				pass	3	3.4936156000000005	0.009595030000000004	pass	211	233				pass	0	0.7676075900000001	0.024987659999999898	pass	191
sub-032	233				pass	0	0.6676955499999999	0.029746500000000006	pass	201	233				pass	0	0.6266010999999999	0.027565698	pass	207	233				pass	0	0.768582735	0.03273157799999999	pass	200	233				pass	1	1.050568	0.03523700000000001	pass	183
sub-033	233				pass	1	1.0407897500000003	0.01210205	pass	217	233				pass	0	0.8796018199999999	0.006329199999999992	pass	214	233				pass	0	0.42407279	0.017329970000000004	pass	221	233				pass	1	1.1881068000000001	0.015084449999999998	pass	216
sub-034	233				pass	1	0.98671507	0.056644500000000014	pass	186	233				pass	3	1.8154501	0.034781200000000075	pass	176	233				pass	4	1.41562792	0.0459367	fail	160	233				pass	4	1.58584245	0.034094830000000007	fail	167
sub-035																																								
sub-036	233				pass	0	0.640947285	0.03214718	pass	193	233				pass	3	1.477249025	0.030460014999999993	pass	219	233				pass	11	7.9583138999999985	0.037702394999999986	pass	188	233				pass	3	2.0568868100000004	0.02609125000000001	pass	191
sub-037	233				pass	0	0.7123273000000001	0.02314133	pass	205	233				pass	0	0.6307228100000001	0.015799800000000006	pass	202	233				pass	0	0.49061679999999996	0.031053299999999992	pass	211	233				pass	0	0.6268022	0.016014335000000005	pass	207
sub-038	233				pass	1	1.20955888	0.03643585000000015	fail	166	233				pass	0	0.40400409	0.016691360000000016	pass	217	233				pass	2	1.030781478	0.03365591	pass	205	233				pass	0	0.6158523000000001	0.031670500000000004	pass	205
sub-039	233				pass	5	1.3316514	0.04627999999999993	pass	182	233				pass	4	1.17143856	0.02683213	pass	190	233				pass	9	3.8131800499999993	0.02436484	fail	169	233				pass	5	1.35090165	0.02454855	pass	192
sub-040	233				pass	0	0.8414258	0.032210599999999964	pass	208	233				pass	0	0.61660438	0.016744809999999995	pass	215	233				pass	1	0.9377612619999998	0.03198946	pass	207	233				pass	0	0.7573041899999999	0.03724873500000003	pass	216
sub-041	233				pass	0	0.80870113	0.02604699999999997	pass	202	233				pass	0	0.5578598000000001	0.0308672	pass	216	233				pass	0	0.7323843329999999	0.01875310000000004	pass	211	233				pass	0	0.44429891	0.015889399999999998	pass	217
sub-042	233				pass	0	0.55026503	0.008402049999999966	pass	225	233				pass	0	0.6832747700000001	0.0060734	pass	224	233				pass	0	0.6507309000000001	0.006437051015905983	pass	216	233				pass	1	0.96022655	0.005502099999999999	pass	218
sub-043	233				pass	1	0.9711778	0.0173783499999999	pass	227	233				pass	0	0.355637	0.02275240000000001	pass	230	233				pass	0	0.842941655	0.005847600000000026	pass	225	233				pass	0	0.6945734100000001	0.012321549999999995	pass	226
sub-044	233				pass	0	0.31452909999999995	0.012587600000000013	pass	231	233				pass	0	0.29051348	0.008961350000000007	pass	232	233				pass	0	0.2118247000000001	0.008956300000000004	pass	232	233				pass	0	0.37645508899999996	0.004009050000000001	pass	231
sub-045	233				pass	1	1.04060005	0.02496818000000001	pass	189	233				pass	0	0.5842254499999999	0.02599575	pass	209	233				pass	0	0.5069734800000001	0.01911199999999997	pass	215	233				pass	0	0.51303055	0.017740211999999998	pass	218
sub-046	233				pass	1	1.39498465	0.05371499999999998	pass	203	233				pass	0	0.6256296417500001	0.032127650000000015	pass	214	233				pass	2	1.3193856500000003	0.04058704999999997	pass	198	233				pass	0	0.484827895	0.032052375	pass	215
sub-048	233				pass	0	0.8837754999999999	0.026321100000000118	pass	175	233				pass	0	0.77503156	0.03911925000000002	pass	176	233				pass	2	1.09225278	0.044218450000000034	fail	173	233				pass	0	0.5212137	0.05982736000000001	pass	212
sub-050	233				pass	0	0.3880175	0.017204500000000022	pass	221	233				pass	0	0.5472834000000001	0.02286493000000001	pass	226	233				pass	0	0.256396	0.017201710099999996	pass	232	233				pass	0	0.27243123	0.016793028590000002	pass	232
sub-051	233				pass	0	0.17675256999999994	0.007670800000000011	pass	232	233				pass	0	0.31761995	0.009302600000000015	pass	231	233				pass	0	0.287877205	0.015534200000000028	pass	232	233				pass	0	0.16665389999999994	0.019699899999999985	pass	232
sub-052	233				pass	5	1.267513	0.023300115000000017	fail	141	233				pass	2	1.1356292999999995	0.022165549999999992	pass	175	233				pass	2	1.3052396000000002	0.044059399999999985	fail	145	233				pass	0	0.8674948	0.029422350000000014	fail	155
sub-053	233				pass	0	0.4182825000000001	0.009241750000000005	pass	226	233				pass	0	0.67345766	0.003276504000000004	pass	227	233				pass	1	1.1358776000000002	0.0103797432	pass	223	233				pass	0	0.75911771	0.011922000000000049	pass	227
sub-054	233				pass	0	0.5476482	0.013403700000000004	pass	212	233				pass	0	0.46418248	0.02852685	pass	217	233				pass	0	0.3411797025	0.028535499999999995	pass	228	233				pass	0	0.58506676	0.027776776999999985	pass	212
sub-055	233				pass	0	0.5421888000000001	0.031856400000000014	pass	221	233				pass	0	0.5099652	0.030790949999999994	pass	220	233				pass	0	0.35248811049999995	0.02294284999999991	pass	223	233				pass	0	0.60146225	0.029158725	pass	213
sub-056																																								
sub-057	233				pass	0	0.7710640000000001	0.013913000000000177	pass	213	233				pass	0	0.6013439600000001	0.035381729999999965	pass	196	233				pass	0	0.6553288500000001	0.020831	pass	194	233				pass	0	0.67037747	0.025469724999999985	fail	163
sub-058	233				pass	0	0.337497735	0.002699400415	pass	228	233				pass	0	0.38752482	0.02220360000000001	pass	230	233				pass	0	0.400865665	0.015602021	pass	227										
sub-059																																								
sub-060																																								
sub-061	233				pass	0	0.43944101	0.014018461999999995	pass	223	233				pass	0	0.43395075	0.0064694999999999935	pass	225	233				pass	0	0.40618152	0.017416769999999998	pass	224	233				pass	0	0.475786	0.012593199999999995	pass	225
sub-062	233				pass	0	0.413113485	0.022780780000000042	pass	222	233				pass	0	0.48523026	0.01661432	pass	220	233				pass	0	0.40645895	0.033941250000000006	pass	217	233				pass	0	0.558932395	0.017070459500000003	pass	196
sub-063	0				pass	5	1.54456965	0.05299290000000003	fail	143	0				pass	0	0.7585445	0.020821594	pass	200	0				pass	2	1.14761988	0.03347011	pass	195	0				pass	3	1.5033007	0.05643029999999991	fail	139
sub-064																																								
sub-065																																								
sub-066	233				pass	0	0.4242374999999999	0.020612249999999995	pass	219	233				pass	0	0.4456414000000001	0.014843800000000013	pass	224	233				pass	0	0.490023855	0.03892206	pass	228	233				pass	0	0.7304724	0.02594014999999999	pass	220
sub-067																																								
