	anat	fmap	func	runs_rest	runs_train
sub-001	1	5	5	1	4
sub-002	1	7	7	1	6
sub-004	1	5	5	1	4
sub-005	1	5	5	1	4
sub-006	1	5	5	1	4
sub-007	1	5	5	1	4
sub-009	1	5	5	1	4
sub-010	1	5	5	1	4
sub-012	1	5	5	1	4
sub-013	1	5	5	1	4
sub-014	1	5	5	1	4
sub-015	1	5	5	1	4
sub-016	1	5	5	1	4
sub-017	1	5	5	1	4
sub-018	1	5	5	1	4
sub-019	1	5	5	1	4
sub-020	1	5	5	1	4
sub-021	1	5	5	1	4
sub-022	1	5	5	1	4
sub-023	1	5	5	1	4
sub-024	1	5	5	1	4
sub-026	1	5	5	1	4
sub-027	1	5	5	1	4
sub-033	1	5	5	1	4
sub-034	1	5	5	1	4
sub-035	1	5	5	1	4
sub-036	1	5	5	1	4
sub-037	1	5	5	1	4
sub-038	1	5	5	1	4
sub-039	1	5	5	1	4
sub-040	1	5	5	1	4
sub-041	1	5	5	1	4
sub-042	1	5	5	1	4
sub-043	1	5	5	1	4
sub-044	1	5	5	1	4
sub-045	1	5	5	1	4
sub-046	1	5	5	1	4
sub-048	1	5	5	1	4
sub-050	1	5	5	1	4
sub-051	1	5	5	1	4
sub-052	1	5	5	1	4
sub-053	1	5	5	1	4
sub-054	1	5	5	1	4
sub-055	1	5	5	1	4
sub-056	1	5	5	1	4
sub-057	1	5	5	1	4
sub-058	1	5	5	1	4
sub-059	1	5	5	1	4
sub-061	1	5	5	1	4
sub-062	1	5	5	1	4
sub-063	1	5	5	1	4
sub-064	1	5	5	1	4
sub-066	1	5	5	1	4
sub-067	1	5	5	1	4
sub-068	1	5	5	1	4
sub-072	1	5	5	1	4
sub-073	1	4	4	1	3
sub-074	1	5	5	1	4
sub-094	1	5	5	1	4
sub-096	1	5	5	1	4
sub-097	1	5	5	1	4
sub-098	1	5	5	1	4
sub-099	1	5	5	1	4
sub-100	1	5	5	1	4
sub-102	1	5	5	1	4
sub-103	1	5	5	1	4
sub-107	1	5	5	1	4
sub-112	1	5	5	1	4
sub-114	1	5	5	1	4
sub-116	1	5	5	1	4
sub-118	1	5	5	1	4
sub-119	1	5	5	1	4
sub-120	1	5	5	1	4
sub-121	1	5	5	1	4
sub-123	1	5	5	1	4
sub-124	1	5	5	1	4
