	anat	fmap	func	runs_rest	runs_rl	runs_train
sub-003	0	0	0	0	0	0
sub-012	0	0	0	0	0	0
sub-018	0	0	0	0	0	0
sub-025	0	0	0	0	0	0
sub-026	0	0	0	0	0	0
sub-027	0	0	0	0	0	0
sub-050	0	0	0	0	0	0
sub-052	0	0	0	0	0	0
sub-056	0	0	0	0	0	0
sub-057	0	0	0	0	0	0
sub-058	0	0	0	0	0	0
sub-059	0	0	0	0	0	0
sub-060	0	0	0	0	0	0
sub-062	0	0	0	0	0	0
sub-064	0	0	0	0	0	0
sub-066	0	0	0	0	0	0
sub-067	0	0	0	0	0	0
sub-068	0	0	0	0	0	0
sub-072	0	0	0	0	0	0
sub-073	0	0	0	0	0	0
sub-074	0	0	0	0	0	0
sub-117	0	0	0	0	0	0
sub-120	0	0	0	0	0	0
sub-123	0	0	0	0	0	0
