subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	min_r2.1	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials	max_r2
sub-001	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0389432	0.9372651	pass	pass	0.03128807000000002		pass	pass	0.0214862	0.8649215249999999	pass	pass	0.03668640519999994	1.3151153	pass	--							1.49291285
sub-002	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029951600000000005	0.5827349650000001	pass	pass	0.03363856999999998		pass	pass	0.015229422999999997	0.49171099999999995	pass	pass	0.0419083	0.7018575100000001	pass	--							0.34975680000000003
sub-003	y	--										--																	--							
sub-004	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021921300000000005	1.7663942500000005	pass	pass	0.028897504999999993		pass	pass	0.02612310000000001	1.3886619999999998	pass	pass	0.02413449999999999	0.88134345	pass	--							1.0204890394
sub-005	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.008252799999999998	0.590167	pass	pass	0.011320350000000009		pass	pass	0.0055874999999999606	0.6005725900000001	pass	pass	0.021200700000000017	0.6759881999999999	pass	--							0.9277345350000002
sub-006	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0704487	1.335473	pass	pass	0.029587999999999975		pass	pass	0.032128099999999944	7.621521199999997	fail	pass	0.029703109999999994	2.80010565	pass	--							1.9039556
sub-007	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04901875000000002	0.7628216999999999	pass	pass	0.033552599999999995		pass	pass	0.042508150000000015	0.6948820000000001	pass	pass	0.036949595	0.79849265	pass	--							0.5593315
sub-008	y	--										--																	--							
sub-009	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02356890000000001	0.4493356	pass	pass	0.036104699999999997		pass	pass	0.01627381	0.4909508500000001	pass	pass	0.032103062	0.40075375	pass	--							0.5241034999999999
sub-010	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.035154099999999994	0.9139508499999998	pass	pass	0.015085700000000004		pass	pass	0.03281949999999998	0.5860455	pass	pass	0.038842699999999994	0.59567318	pass	--							0.4829866
sub-011	y	--										--																	--							
sub-012	y	--										--																	--							
sub-013	y	--										--																	--							
sub-014	y	--										--																	--							
sub-015	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029126509999999987	0.8561834	pass	pass	0.036769		pass	pass	0.03649119000000002	0.8600825000000001	pass	pass	0.04604480000000016	1.2160741000000002	pass	--							0.92115193
sub-016	y	--										--																	--							
sub-017	y	--										--																	--							
sub-018	y	--										--																	--							
sub-019	y	--										--																	--							
sub-020	y	--										--																	--							
sub-021	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030465217999999995	1.0428238500000002	pass	pass	0.02939945000000001		pass	pass	0.016169515000000002	0.48562725	pass	pass	0.015426199999999987	0.8961079899999999	pass	--							0.39846603
sub-022	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021309369999999987	0.4488087000000001	pass	pass	0.03759276		pass	pass	0.029590049999999982	0.540567	pass	pass	0.026789499999999997	0.34118746	pass	--							0.55689731
sub-023	y	--										--																	--							
sub-024	y	--										--																	--							
sub-025	y	--										--																	--							
sub-026	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01289069999999994	0.907611305	pass	pass	0.028952849999999964		pass	pass	0.010964050000000005	0.7259514	pass	pass	0.0443096	0.9112092100000002	pass	--							1.0379554
sub-027	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011771068999999992	0.344827165	pass	pass	0.022651499999999998		pass	pass	0.020201999999999973	0.54599618	pass	pass	0.018273169	0.27365907	pass	--							0.39808234
sub-028	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01892199000000001	0.43421329999999997	pass	pass	0.03724664		pass	pass	0.00983153	0.4621593000000001	pass	pass	0.028727550999999955	0.5946573685000001	pass	--							0.7048094500000001
sub-030	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03399724999999997	0.9149888	pass	pass	0.03775739999999997		pass	pass	0.030880999999999995	0.6550149000000001	pass	pass	0.030309399999999955	0.5092287000000001	pass	--							0.5760586099999999
sub-031	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0425765	1.8108090000000001	pass	pass	0.026787500000000082		pass	pass	0.025929949999999983	1.46699875	pass	pass	0.03140182000000001	0.8492153299999999	pass	--							1.56955376
sub-032	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028304414000000007	0.5581567000000001	pass	pass	0.010035099999999988		pass	pass	0.00740055	0.40641900000000003	pass	pass	0.01352058	0.5164982450000001	pass	--							0.43087267
sub-033	y	--										--																	--							
sub-034	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03877473008736999	1.7747465	pass	pass	0.035292915000000015		pass	pass	0.016549700000000004	0.80054165	pass	pass	0.0490592	2.812073455	pass	--							1.056177935
sub-035	y	--										--																	--							
sub-036	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030572078189999987	0.65407855	pass	pass	0.02775310000000004		fail	pass	0.033474050000000005	2.4740214499999995	pass	pass	0.028998500000000007	0.7861080400000001	pass	--							3.381828500000001
sub-037	y	--										--																	--							
sub-038	y	--										--																	--							
sub-039	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.035586500000000035	2.7696940000000003	pass	pass	0.04144455000000018		pass	pass	0.029489300000000006	2.8888739999999995	pass	pass	0.04671740000000001	1.47024861	pass	--							2.6794583999999997
sub-040	y	--	good	missing	good	good	good	good	good	good	good	--	pass	0.029250809140782992	4.9591335	fail	pass	0.016921699999999994		pass	pass	0.015281700000000025	0.4489338	pass	pass	0.03093474999999997	0.5377715000000001	pass	--							0.42263778
sub-041	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.012627649999999971	0.5976194949999999	pass	pass	0.02099045		pass	pass	0.02623955	0.43631135	pass	pass	0.01215029	0.4948025	pass	--							0.45675147
