	anat	fmap	func	runs_rest	runs_rl	runs_train
sub-001	1	7	7	1	2	4
sub-002	1	8	8	1	3	4
sub-004	1	7	7	1	2	4
sub-005	1	7	7	1	2	4
sub-006	1	7	7	1	2	4
sub-007	1	7	7	1	2	4
sub-008	1	7	7	1	2	4
sub-009	1	7	7	1	2	4
sub-011	1	7	7	1	2	4
sub-013	1	7	7	1	2	4
sub-014	1	7	7	1	2	4
sub-015	1	6	6	1	1	4
sub-016	1	7	7	1	2	4
sub-017	1	7	7	1	2	4
sub-019	1	7	7	1	2	4
sub-020	1	7	7	1	2	4
sub-021	1	6	6	1	1	4
sub-022	1	7	7	1	2	4
sub-023	1	6	6	1	1	4
sub-024	1	7	7	1	2	4
sub-031	1	7	7	1	2	4
sub-032	1	7	7	1	2	4
sub-033	1	7	7	1	2	4
sub-034	1	7	7	1	2	4
sub-035	1	7	7	1	2	4
sub-036	1	7	7	1	2	4
sub-038	1	7	7	1	2	4
sub-039	1	7	7	1	2	4
sub-040	1	7	7	1	2	4
sub-041	1	7	7	1	2	4
sub-042	1	7	7	1	2	4
sub-043	1	7	7	1	2	4
sub-044	1	7	7	1	2	4
sub-045	1	7	7	1	2	4
sub-046	1	7	7	1	2	4
sub-048	1	7	7	1	2	4
sub-051	1	7	7	1	2	4
sub-053	1	7	7	1	2	4
sub-054	1	7	7	1	2	4
sub-055	1	7	7	1	2	4
sub-061	1	7	7	1	2	4
sub-063	1	7	7	1	2	4
sub-095	1	7	7	1	2	4
sub-096	1	7	7	1	2	4
sub-097	1	7	7	1	2	4
sub-098	1	7	7	1	2	4
sub-099	1	7	7	1	2	4
sub-100	1	7	7	1	2	4
sub-102	1	7	7	1	2	4
sub-103	1	7	7	1	2	4
sub-104	1	7	7	1	2	4
sub-107	1	7	7	1	2	4
sub-109	1	7	7	1	2	4
sub-111	1	7	7	1	2	4
sub-112	1	7	7	1	2	4
sub-114	1	7	7	1	2	4
sub-115	1	7	7	1	2	4
sub-116	1	7	7	1	2	4
sub-119	1	7	7	1	2	4
sub-121	1	7	7	1	2	4
sub-124	1	7	7	1	2	4
sub-130	1	7	7	1	2	4
sub-133	1	7	7	1	2	4
sub-134	1	7	7	1	2	4
sub-140	1	7	7	1	2	4
sub-141	1	7	7	1	2	4
sub-142	1	7	7	1	2	4
sub-143	1	7	7	1	2	4
sub-144	1	7	7	1	2	4
sub-145	1	7	7	1	2	4
sub-148	1	7	7	1	2	4
sub-149	1	7	7	1	2	4
sub-152	1	7	7	1	2	4
