	anat	fmap	func	runs_rest	runs_rl	runs_train
sub-003	0	0	0	0	0	0
sub-012	0	0	0	0	0	0
sub-018	0	0	0	0	0	0
sub-025	0	0	0	0	0	0
sub-026	0	0	0	0	0	0
sub-027	0	0	0	0	0	0
sub-028	0	0	0	0	0	0
sub-030	0	0	0	0	0	0
sub-050	0	0	0	0	0	0
sub-052	0	0	0	0	0	0
sub-056	0	0	0	0	0	0
sub-057	0	0	0	0	0	0
sub-058	0	0	0	0	0	0
sub-059	0	0	0	0	0	0
sub-060	0	0	0	0	0	0
sub-062	0	0	0	0	0	0
sub-064	0	0	0	0	0	0
sub-066	0	0	0	0	0	0
sub-067	0	0	0	0	0	0
sub-068	0	0	0	0	0	0
sub-070	0	0	0	0	0	0
sub-071	0	0	0	0	0	0
sub-072	0	0	0	0	0	0
sub-073	0	0	0	0	0	0
sub-074	0	0	0	0	0	0
sub-075	0	0	0	0	0	0
sub-077	0	0	0	0	0	0
sub-078	0	0	0	0	0	0
sub-079	0	0	0	0	0	0
sub-080	0	0	0	0	0	0
sub-082	0	0	0	0	0	0
sub-083	0	0	0	0	0	0
sub-084	0	0	0	0	0	0
sub-085	0	0	0	0	0	0
sub-086	0	0	0	0	0	0
sub-087	0	0	0	0	0	0
sub-088	0	0	0	0	0	0
sub-089	0	0	0	0	0	0
sub-090	0	0	0	0	0	0
sub-091	0	0	0	0	0	0
sub-092	0	0	0	0	0	0
sub-093	0	0	0	0	0	0
sub-117	0	0	0	0	0	0
sub-120	0	0	0	0	0	0
sub-123	0	0	0	0	0	0
sub-127	0	0	0	0	0	0
sub-128	0	0	0	0	0	0
sub-129	0	0	0	0	0	0
sub-131	0	0	0	0	0	0
sub-132	0	0	0	0	0	0
sub-135	0	0	0	0	0	0
sub-136	0	0	0	0	0	0
sub-137	0	0	0	0	0	0
sub-138	0	0	0	0	0	0
sub-147	0	0	0	0	0	0
sub-150	0	0	0	0	0	0
sub-151	0	0	0	0	0	0
sub-153	0	0	0	0	0	0
sub-154	0	0	0	0	0	0
sub-155	0	0	0	0	0	0
sub-156	0	0	0	0	0	0
sub-157	0	0	0	0	0	0
sub-159	0	0	0	0	0	0
