subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	max_r2	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials
sub-001	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0389432	0.9372651	pass	pass	0.03128807000000002	1.49291285	pass	pass	0.0214862	0.8649215249999999	pass	pass	0.03668640519999994	1.3151153	pass	--						
sub-002	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029951600000000005	0.5827349650000001	pass	pass	0.03363856999999998	0.34975680000000003	pass	pass	0.015229422999999997	0.49171099999999995	pass	pass	0.0419083	0.7018575100000001	pass	--						
sub-003	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028813149999999992	0.56679505	pass	pass	0.009841725000000008	0.44072429999999996	pass	pass	0.029835299999999995	0.64238855	pass	pass	0.035671490000000014	0.4705076	pass	--						
sub-004	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021921300000000005	1.7663942500000005	pass	pass	0.028897504999999993	1.0204890394	pass	pass	0.02612310000000001	1.3886619999999998	pass	pass	0.02413449999999999	0.88134345	pass	--						
sub-005	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.008252799999999998	0.590167	pass	pass	0.011320350000000009	0.9277345350000002	pass	pass	0.0055874999999999606	0.6005725900000001	pass	pass	0.021200700000000017	0.6759881999999999	pass	--						
sub-006	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.0704487	1.335473	pass	pass	0.029587999999999975	1.9039556	pass	pass	0.032128099999999944	7.621521199999997	fail	pass	0.029703109999999994	2.80010565	pass	--						
sub-007	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04901875000000002	0.7628216999999999	pass	pass	0.033552599999999995	0.5593315	pass	pass	0.042508150000000015	0.6948820000000001	pass	pass	0.036949595	0.79849265	pass	--						
sub-008	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.028243720999999968	1.0490341	pass	pass	0.01455504	0.6640890899999999	pass	pass	0.014609770000000022	1.90630125	pass	pass	0.016623299999999987	1.6027597999999998	pass	--						
sub-009	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02356890000000001	0.4493356	pass	pass	0.036104699999999997	0.5241034999999999	pass	pass	0.01627381	0.4909508500000001	pass	pass	0.032103062	0.40075375	pass	--						
sub-010	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.035154099999999994	0.9139508499999998	pass	pass	0.015085700000000004	0.4829866	pass	pass	0.03281949999999998	0.5860455	pass	pass	0.038842699999999994	0.59567318	pass	--						
sub-011	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03376165000000012	0.5003655	pass	pass	0.02478820000000001	0.51760756	pass	pass	0.003769199999999999	0.42362690000000003	pass	pass	0.040098650000000007	1.7413179000000003	pass	--						
sub-012	y	--	good	good		good		good		good		--	pass	0.040266199999999995	0.60630303	pass	pass	0.03972109	0.4890462900000001	pass	pass	0.01640699999999997	0.33826657599999993	pass	pass	0.029299449999999987	0.6583872	pass	--						
sub-013	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.016520999999999987	0.358003	pass	pass	0.01848055	0.23974431	pass	pass	0.02734805	0.5638905999999999	pass	pass	0.02776967000000001	0.275122324	pass	--						
sub-014	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.03235257999999998	0.66034595	pass	pass	0.031334899999999964	0.3941805350000001	pass	pass	0.004421155	0.5758052	pass	pass	0.024184250000000008	0.3698639	pass	--						
sub-015	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029126509999999987	0.8561834	pass	pass	0.036769	0.92115193	pass	pass	0.03649119000000002	0.8600825000000001	pass	pass	0.04604480000000016	1.2160741000000002	pass	--						
sub-016	y	--	good									--	pass	0.021526300000000026	0.7449449999999999	pass	pass	0.0310046	0.5539105499999999	pass	pass	0.01719697500000001	0.572795835	pass	pass	0.0196140395	0.6613686700000001	pass	--						
sub-017	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.014822459999999978	0.33159099999999997	pass	pass	0.02475596	0.37978809999999996	pass	pass	0.027631609799999998	0.44530885	pass	pass	0.01845762	0.42749598	pass	--						
sub-018	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.020042700000000028	0.9206359000000001	pass	pass	0.013081500000000029	0.9015715	pass	pass	0.012682130000000008	0.68523162	pass	pass	0.016926190000000032	1.0810108500000002	pass	--						
sub-019	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.019284800000000008	0.83441945	pass	pass	0.03790324999999997	1.171135355	pass	pass	0.01970175	0.91260815	pass	pass	0.02598245	0.747664	pass	--						
sub-020	y	--	good									--	pass	0.020360049999999984	0.7884068999999999	pass	pass	0.0190172	0.9047063500000002	pass	pass	0.02017297	1.7242459999999995	pass	pass	0.01283857	0.28620144	pass	--						
sub-021	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.030465217999999995	1.0428238500000002	pass	pass	0.02939945000000001	0.39846603	pass	pass	0.016169515000000002	0.48562725	pass	pass	0.015426199999999987	0.8961079899999999	pass	--						
sub-022	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.021309369999999987	0.4488087000000001	pass	pass	0.03759276	0.55689731	pass	pass	0.029590049999999982	0.540567	pass	pass	0.026789499999999997	0.34118746	pass	--						
sub-023	y	--	good	good	good	good	good	good	good	good	good		pass	0.007537700000000052	0.40604588	pass	pass	0.017711099999999997	0.56463916	pass	pass	0.013870029999999985	0.40403675	pass	pass	0.02561956499999997	0.5935101500000001	pass	--						
sub-024	y	--	good									--	pass	0.013828880000000005	0.31328825000000005	pass	pass	0.019388900000000004	0.23522413	pass	pass	0.028599599437705008	0.24012458	pass	pass	0.01875401500000001	0.205198995	pass	--						
sub-025	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.033444500000000064	1.1723415000000001	pass	pass	0.028636899999999983	1.3037082000000002	pass	pass	0.0143864	1.35565146	pass	pass	0.007594670000000011	1.3119687	pass	--						
sub-026	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01289069999999994	0.907611305	pass	pass	0.028952849999999964	1.0379554	pass	pass	0.010964050000000005	0.7259514	pass	pass	0.0443096	0.9112092100000002	pass	--						
sub-027	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011771068999999992	0.344827165	pass	pass	0.022651499999999998	0.39808234	pass	pass	0.020201999999999973	0.54599618	pass	pass	0.018273169	0.27365907	pass	--						
sub-028	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.01892199000000001	0.43421329999999997	pass	pass	0.03724664	0.7048094500000001	pass	pass	0.00983153	0.4621593000000001	pass	pass	0.028727550999999955	0.5946573685000001	pass	--						
